Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Arganda,Acacias (Distrito Arganzuela. Madrid Capital),680.000 €,4 habs.,2 baños,131 m²,3ª planta
Piso en Avenida de Logroño,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),369.900 €,3 habs.,2 baños,107 m²,2ª planta
Piso en Avenida del Ensanche de Vallecas,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),325.900 €,2 habs.,2 baños,107 m²,3ª planta
Piso en calle de San Silvestre,San Isidro (Distrito Carabanchel. Madrid Capital),338.000 €,2 habs.,2 baños,314 m²,Sin información
Piso en calle de José Ortega y Gasset,Lista (Distrito Salamanca. Madrid Capital),494.000 €,2 habs.,1 baño,69 m²,3ª planta
Piso en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),295.000 €,2 habs.,87 m²,Sin información,Sin información
Piso en calle de Huerta de Villaverde,San Andrés (Distrito Villaverde. Madrid Capital),340.000 €,4 habs.,2 baños,116 m²,1ª planta
Piso en calle de Campo Real,Berruguete (Distrito Tetuán. Madrid Capital),260.000 €,2 habs.,46 m²,2ª planta,Sin información
Piso en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),136.000 €,1 hab.,1 baño,51 m²,2ª planta
Piso en Berruguete,Bellas Vistas (Distrito Tetuán. Madrid Capital),295.000 €,2 habs.,1 baño,64 m²,Sin información
Estudio en calle de Ginzo de Limia,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),219.900 €,1 baño,47 m²,Sin información,Sin información
Piso en calle del Conde de Peñalver,Goya (Distrito Salamanca. Madrid Capital),269.900 €,1 hab.,1 baño,25 m²,4ª planta
Piso en Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),299.000 €,3 habs.,2 baños,91 m²,4ª planta
Apartamento en calle del Limonero,Castillejos (Distrito Tetuán. Madrid Capital),229.000 €,1 hab.,1 baño,40 m²,2ª planta
Chalet adosado en calle de Machaquito,Piovera (Distrito Hortaleza. Madrid Capital),1.800.000 €,7 habs.,4 baños,348 m²,Sin información
"Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas, S/N",El Cañaveral (Distrito Vicálvaro. Madrid Capital),479.900 €,4 habs.,2 baños,125 m²,Sin información
Piso en calle de Matilde Hernández,Cármenes (Distrito Latina. Madrid Capital),170.000 €,3 habs.,1 baño,75 m²,Principal
Piso en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),99.000 €,2 habs.,1 baño,52 m²,2ª planta
Piso en calle de Bernardino de Pantorba,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),359.000 €,3 habs.,2 baños,98 m²,2ª planta
Estudio en calle de Mota del Cuervo,Canillas (Distrito Hortaleza. Madrid Capital),190.000 €,1 baño,51 m²,Sin información,Sin información
Piso en Avenida de los Rosales,Butarque (Distrito Villaverde. Madrid Capital),261.000 €,4 habs.,2 baños,110 m²,Sin información
Chalet en calle del Trópico,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),449.000 €,8 habs.,4 baños,135 m²,Sin información
Piso en Ambroz,Ambroz (Distrito Vicálvaro. Madrid Capital),161.000 €,2 habs.,1 baño,55 m²,4ª planta
Estudio en calle de Fernández Oviedo,Ciudad Jardín (Distrito Chamartín. Madrid Capital),189.000 €,1 hab.,1 baño,37 m²,Sin información
Piso en calle de Isabela Saverana,Buenavista (Distrito Carabanchel. Madrid Capital),170.000 €,3 habs.,1 baño,70 m²,Bajo
Estudio en calle de la Huerta del Obispo,Berruguete (Distrito Tetuán. Madrid Capital),210.000 €,1 hab.,1 baño,43 m²,Sin información
"Piso en calle Berrocales IX, 461",Los Berrocales (Distrito Vicálvaro. Madrid Capital),301.500 €,2 habs.,2 baños,77 m²,Sin información
Piso en calle de Entrepeñas,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),275.300 €,1 hab.,1 baño,92 m²,Bajo
Ático en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),650.000 €,2 habs.,2 baños,80 m²,Sin información
Piso en calle,Ibiza (Distrito Retiro. Madrid Capital),1.200.000 €,4 habs.,2 baños,112 m²,Sin información
Piso en calle Raimundo Fernández Villaverde,Cuatro Caminos (Distrito Tetuán. Madrid Capital),635.000 €,3 habs.,2 baños,100 m²,Bajo
Piso en calle Joaquín Lorenzo,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),388.500 €,1 hab.,1 baño,35 m²,Sin información
Piso en calle de la Sierra Morena,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),148.000 €,2 habs.,1 baño,62 m²,2ª planta
Piso en Chamartin,El Viso (Distrito Chamartín. Madrid Capital),2.080.000 €,4 habs.,3 baños,228 m²,7ª planta
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.804.000 €,5 habs.,2 baños,271 m²,Sin información
Piso en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),395.000 €,2 habs.,2 baños,118 m²,Sin información
Piso en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),364.700 €,3 habs.,1 baño,118 m²,Sin información
Piso en calle de Maqueda,Aluche (Distrito Latina. Madrid Capital),120.000 €,2 habs.,1 baño,65 m²,Bajo
Chalet pareado en Puerta de Hierro,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),2.200.000 €,6 habs.,6 baños,675 m²,Sin información
"Piso en calle de Manuela Malasaña, 9",Universidad-Malasaña (Distrito Centro. Madrid Capital),895.000 €,3 habs.,2 baños,133 m²,5ª planta
Piso en calle del Espinar,Vista Alegre (Distrito Carabanchel. Madrid Capital),158.500 €,2 habs.,1 baño,45 m²,Sin información
Piso en calle de la Academia,Jerónimos (Distrito Retiro. Madrid Capital),990.000 €,2 habs.,3 baños,86 m²,6ª planta
Piso en calle del Castillo de Arévalo,Simancas (Distrito San Blas. Madrid Capital),165.000 €,2 habs.,1 baño,57 m²,1ª planta
Piso en calle *,Los Berrocales (Distrito Vicálvaro. Madrid Capital),398.100 €,3 habs.,2 baños,113 m²,Sin información
Chalet adosado en San Blas,Rosas (Distrito San Blas. Madrid Capital),1.150.000 €,5 habs.,3 baños,278 m²,Sin información
Dúplex en calle del General Arrando,Almagro (Distrito Chamberí. Madrid Capital),1.950.000 €,3 habs.,2 baños,316 m²,3ª planta
"Piso en calle de Villalmanzo, 1",Ambroz (Distrito Vicálvaro. Madrid Capital),185.000 €,3 habs.,1 baño,64 m²,Sin información
Piso en calle de Hilarión Eslava,Gaztambide (Distrito Chamberí. Madrid Capital),949.000 €,4 habs.,3 baños,145 m²,3ª planta
Chalet en Ciudad Universitaria,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),4.200.000 €,6 habs.,8 baños,2.000 m²,Sin información
Piso en calle de José Ortega y Gasset,Castellana (Distrito Salamanca. Madrid Capital),1.149.000 €,2 habs.,2 baños,95 m²,Bajo
Piso en calle del Néctar,Canillejas (Distrito San Blas. Madrid Capital),270.000 €,3 habs.,1 baño,70 m²,Sin información
Piso en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),249.000 €,2 habs.,1 baño,64 m²,6ª planta
Piso en calle de Longares,Rosas (Distrito San Blas. Madrid Capital),280.000 €,3 habs.,2 baños,88 m²,Sin información
Piso en Avenida Quinta,Rejas (Distrito San Blas. Madrid Capital),210.000 €,3 habs.,2 baños,90 m²,Sin información
Ático en calle C. Rafael de León & Av. de Las Suertes,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),574.900 €,3 habs.,2 baños,168 m²,Sin información
Piso en calle de Mieres,Simancas (Distrito San Blas. Madrid Capital),265.000 €,2 habs.,1 baño,53 m²,Bajo
Piso en calle de Francisco Paino,Abrantes (Distrito Carabanchel. Madrid Capital),159.900 €,3 habs.,1 baño,56 m²,Sin información
Piso en calle de Felisa Méndez,San Diego (Distrito Puente de Vallecas. Madrid Capital),145.000 €,3 habs.,1 baño,60 m²,3ª planta
Piso en Madrid Centro,Bellas Vistas (Distrito Tetuán. Madrid Capital),235.000 €,1 hab.,1 baño,49 m²,1ª planta
Piso en calle de la Virgen de la Oliva,Simancas (Distrito San Blas. Madrid Capital),239.000 €,3 habs.,2 baños,118 m²,6ª planta
"Piso en Madrid, Zona de - Carabanchel, Distrito - Buenavista",Buenavista (Distrito Carabanchel. Madrid Capital),165.000 €,3 habs.,1 baño,70 m²,Sin información
Piso en Los Rosales,Los Rosales (Distrito Villaverde. Madrid Capital),115.000 €,2 habs.,1 baño,50 m²,Sin información
Piso en Palomeras Sureste,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),210.000 €,3 habs.,2 baños,102 m²,6ª planta
Piso en calle de los Decoradores,Hellín (Distrito San Blas. Madrid Capital),150.000 €,2 habs.,1 baño,50 m²,Bajo
Piso en calle de Maqueda,Aluche (Distrito Latina. Madrid Capital),299.900 €,3 habs.,2 baños,82 m²,4ª planta
Piso en Avenida del Mediterráneo,Pacífico (Distrito Retiro. Madrid Capital),510.000 €,3 habs.,2 baños,110 m²,4ª planta
Piso en Carabanchel,Buenavista (Distrito Carabanchel. Madrid Capital),150.000 €,3 habs.,1 baño,80 m²,4ª planta
Ático en calle de Quijada de Pandiellos,San Diego (Distrito Puente de Vallecas. Madrid Capital),219.000 €,1 hab.,2 baños,77 m²,Sin información
Piso en calle de Blas Cabrera,Las Águilas (Distrito Latina. Madrid Capital),187.500 €,3 habs.,1 baño,71 m²,Bajo
