Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
345.000,127,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '127 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4992497-MV')]"
304.500,132,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '132 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4992497-MV')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
354.000,280,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '280 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449149')]"
344.000,272,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '272 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449146')]"
359.000,305,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '305 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449218')]"
369.000,338,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '338 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528801-21449179')]"
349.000,127,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '127 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4992497-MV')]"
759.000,486,Anuncio actualizado el 30/07/2024,N/A,N/A,"[('Superficie construida:', '486 m²'), ('Superficie solar:', '1.392 m²'), ('Habitaciones:', '7'), ('Baños:', '5'), ('Referencia:', 'SA5497-100643846/11771')]"
1.499.000,640,Anuncio actualizado el 22/10/2024,Consumo:152 kWh/m² año,Emisiones:40 Kg CO₂/m² año,"[('Superficie construida:', '640 m²'), ('Superficie útil:', '640 m²'), ('Superficie solar:', '3.200 m²'), ('Habitaciones:', '6'), ('Baños:', '6'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'UVC841-20950')]"
447.000,515,Anuncio actualizado el 22/10/2024,Consumo:122 kWh/m² año,Emisiones:24 Kg CO₂/m² año,"[('Superficie construida:', '515 m²'), ('Superficie solar:', '1.065 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA814-EX03951/3763')]"
296.000,159,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '159 m²'), ('Superficie solar:', '1.245 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'SA814-EX04015/3763')]"
850.000,550,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '550 m²'), ('Superficie solar:', '1.470 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'SA814-EX03754/3763')]"
