Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
https://www.pisos.com/comprar/chalet-mirasierra_arroyo_del_fresno28034-47541611343_101800/,2.460.000,753,Anuncio actualizado el 24/10/2024,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '753 m²'), ('Superficie solar:', '750 m²'), ('Habitaciones:', '7'), ('Baños:', '6'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF5271-278')]"
https://www.pisos.com/comprar/duplex-la_pizarra28200-42505588735_102100/,349.700,136,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '136 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'GM14-195533')]"
https://www.pisos.com/comprar/piso-chamberi_almagro28010-45069631094_101800/,2.300.000,204,Anuncio actualizado el 21/10/2024,Consumo:144 kWh/m² año,Emisiones:30 Kg CO₂/m² año,"[('Superficie construida:', '204 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Referencia:', 'IF76602-M20615V')]"
https://www.pisos.com/comprar/piso-chamberi_almagro28046-40039547263_101800/,6.400.000,672,Anuncio actualizado el 10/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '672 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '2ª'), ('Referencia:', 'IF76602-M20548V')]"
https://www.pisos.com/comprar/chalet_adosado-el_olivar_de_mirabal28669-45856762096_994534/,870.000,329,Anuncio actualizado el 29/07/2024,Consumo:44 kWh/m² año,Emisiones:44 Kg CO₂/m² año,"[('Superficie construida:', '329 m²'), ('Superficie útil:', '178 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Conservación:', 'En buen estado'), ('Referencia:', '4994534-Las Fuentes de Valenoso')]"
https://www.pisos.com/comprar/piso-universidad_malasana28004-45881054415_106700/,1.039.000,108,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '108 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Referencia:', 'IFC76334-CBUQ354')]"
https://www.pisos.com/comprar/piso-chamartin_prosperidad28002-47524746751_101800/,695.000,81,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '81 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF5271-288')]"
https://www.pisos.com/comprar/chalet-penagrande28035-45021323745_101800/,1.100.000,306,Anuncio actualizado el 18/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '306 m²'), ('Habitaciones:', '6'), ('Baños:', '5'), ('Referencia:', 'IF76602-M20649V')]"
https://www.pisos.com/comprar/chalet-urbanizacion_ciudad_residencial_la_berzosa-47509027479_109300/,775.000,567,Anuncio actualizado el 19/09/2024,N/A,N/A,"[('Superficie construida:', '567 m²'), ('Superficie útil:', '525 m²'), ('Habitaciones:', '8'), ('Baños:', '6'), ('Conservación:', 'A reformar'), ('Referencia:', 'EP647-1198')]"
https://www.pisos.com/comprar/chalet_adosado-villanueva_de_la_canada_villafranca_del_castillo28-37509443572_102100/,535.000,231,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '231 m²'), ('Superficie solar:', '193 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM11-189742')]"
https://www.pisos.com/comprar/casa_unifamiliar-moralzarzal_centro_urbano-35000862395_403500/,430.000,273,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '273 m²'), ('Superficie útil:', '250 m²'), ('Superficie solar:', '626 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', '4035-003371')]"
https://www.pisos.com/comprar/piso-nueva_espana28016-46716313056_101800/,2.700.000,550,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '550 m²'), ('Habitaciones:', '8'), ('Baños:', '6'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF76850-M30562V')]"
https://www.pisos.com/comprar/duplex-zona_avenida_de_europa28223-24186317174_102100/,1.490.000,588,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '588 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Referencia:', 'GM31-173393')]"
https://www.pisos.com/comprar/casa_pareada-villaviciosa_de_odon_centro-45068190692_100500/,635.000,276,Anuncio actualizado el 07/06/2024,N/A,N/A,"[('Superficie construida:', '276 m²'), ('Superficie solar:', '297 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Tipo de casa:', 'Pareada'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4858-C501171')]"
https://www.pisos.com/comprar/chalet-castillo_campodon-48421348466_100500/,730.000,206,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '206 m²'), ('Superficie solar:', '1.445 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4858-C501193')]"
https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-35849798106_101800/,310.000,225,Anuncio actualizado el 09/09/2024,Consumo:213 kWh/m² año,Emisiones:44 Kg CO₂/m² año,"[('Superficie construida:', '225 m²'), ('Superficie solar:', '175 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Tipo de casa:', 'Pareada'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'IF76953-53')]"
https://www.pisos.com/comprar/chalet-colonia-48379998725_108500/,650.000,240,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '230 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Referencia:', 'AG105-MG261')]"
https://www.pisos.com/comprar/chalet-lozoyuela-45836659626_100500/,365.000,245,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '245 m²'), ('Superficie útil:', '194 m²'), ('Superficie solar:', '500 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Referencia:', 'SA5479-26072024/11756')]"
https://www.pisos.com/comprar/chalet-los_molinos_centro_urbano-38362515473_993204/,335.000,150,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '150 m²'), ('Superficie útil:', '140 m²'), ('Superficie solar:', '500 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', '993204-13392770')]"
https://www.pisos.com/comprar/piso-universidad_malasana28004-5015113295_101800/,590.000,120,Anuncio actualizado el 23/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF5695-240221-12')]"
https://www.pisos.com/comprar/piso-chamberi_almagro28046-43432526509_106700/,6.400.000,672,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '672 m²'), ('Superficie útil:', '478 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Referencia:', 'IFC76334-CBUQ202')]"
https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-48334113685_105700/,162.000,69,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GB3-ALC540 PISO EN VENTA EN ALCORCON - CENTRO')]"
https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-47594049926_101800/,218.900,101,Anuncio actualizado el 01/10/2024,N/A,N/A,"[('Superficie construida:', '101 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF76801-guadamolinos')]"
https://www.pisos.com/comprar/piso-goya28009-45023648379_100500/,415.000,65,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Superficie útil:', '53 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', 'Semisótano'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', 'SA3018-1-1443/8205')]"
https://www.pisos.com/comprar/piso-justicia_chueca28004-46739717063_101800/,2.560.000,257,Anuncio actualizado el 11/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '257 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF76602-M20692VA')]"
https://www.pisos.com/comprar/casa_adosada-colonia-40006965334_100500/,350.000,235,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '235 m²'), ('Superficie solar:', '265 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA3830-LODON-00672/9281')]"
https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-34204320869_102100/,2.700.000,1.100,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '1.100 m²'), ('Superficie solar:', '4 m²'), ('Habitaciones:', '6'), ('Baños:', '6'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM31-182308')]"
https://www.pisos.com/comprar/chalet-colmenar_viejo_centro-39241727493_102100/,1.800.000,556,Anuncio actualizado el 17/09/2024,N/A,N/A,"[('Superficie construida:', '556 m²'), ('Superficie solar:', '4 m²'), ('Habitaciones:', '6'), ('Baños:', '5'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM27-190450')]"
https://www.pisos.com/comprar/piso-villaviciosa_de_odon_centro-44214218364_100200/,225.000,70,Anuncio actualizado el 09/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC304-582072')]"
https://www.pisos.com/comprar/chalet-daganzo_de_arriba_centro_urbano-42584780385_100500/,220.000,136,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '136 m²'), ('Superficie solar:', '160 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Referencia:', 'SA114-0847')]"
https://www.pisos.com/comprar/chalet_adosado-el_olivar_la_magdalena-47508069881_528821/,464.900,193,Anuncio actualizado el 24/10/2024,Consumo:100 kWh/m² año,Emisiones:100 Kg CO₂/m² año,"[('Superficie construida:', '193 m²'), ('Superficie útil:', '170 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528821-000007')]"
https://www.pisos.com/comprar/chalet-centro_parque_de_la_manguilla-40012841864_101800/,588.000,256,Anuncio actualizado el 28/06/2024,N/A,N/A,"[('Superficie construida:', '256 m²'), ('Superficie solar:', '228 m²'), ('Habitaciones:', '6'), ('Baños:', '3'), ('Referencia:', 'IF6298-2000')]"
https://www.pisos.com/comprar/chalet_adosado-pedrezuela_centro_urbano-45000552134_522139/,230.000,125,Anuncio actualizado el 14/08/2024,N/A,N/A,"[('Superficie construida:', '125 m²'), ('Superficie útil:', '115 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4522139-00261')]"
https://www.pisos.com/comprar/chalet_pareado-moncloa_aravaca_aravaca28023-48337225825_528556/,2.045.000,600,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '600 m²'), ('Superficie útil:', '390 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', '4528556-La Riconada')]"
https://www.pisos.com/comprar/chalet-hoyo_de_manzanares_centro_urbano-2543487435_108500/,1.150.000,687,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '687 m²'), ('Superficie útil:', '650 m²'), ('Habitaciones:', '5'), ('Baños:', '7'), ('Referencia:', 'AG105-MG164')]"
https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-37579099071_102100/,4.400.000,925,Anuncio actualizado el 14/10/2024,N/A,N/A,"[('Superficie construida:', '925 m²'), ('Superficie solar:', '5 m²'), ('Habitaciones:', '7'), ('Baños:', '7'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM31-186923')]"
https://www.pisos.com/comprar/chalet-moncloa_aravaca_aravaca28023-47593013282_109300/,895.000,250,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '250 m²'), ('Habitaciones:', '6'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'EP1019-SRG68')]"
https://www.pisos.com/comprar/chalet-hoyo_de_manzanares_centro_urbano-15042247996_108500/,775.000,564,Anuncio actualizado el 20/10/2024,Consumo:289 kWh/m² año,Emisiones:61 Kg CO₂/m² año,"[('Superficie construida:', '564 m²'), ('Superficie útil:', '530 m²'), ('Habitaciones:', '8'), ('Baños:', '7'), ('Referencia:', 'AG105-MG187')]"
https://www.pisos.com/comprar/chalet-hortaleza_canillas28043-47586170955_100500/,850.000,170,Anuncio actualizado el 11/09/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie solar:', '200 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4440-105949902')]"
https://www.pisos.com/comprar/duplex-la_pizarra28200-42543014223_102100/,349.700,99,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '99 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'GM14-195536')]"
https://www.pisos.com/comprar/casa_pareada-ribatejada_centro_urbano-37574161579_101800/,220.000,180,Anuncio actualizado el 24/05/2024,N/A,N/A,"[('Superficie construida:', '180 m²'), ('Superficie solar:', '513 m²'), ('Habitaciones:', '4'), ('Baños:', '1'), ('Tipo de casa:', 'Pareada'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF5432-RI-1084')]"
https://www.pisos.com/comprar/piso-san_blas_salvador28027-46693041526_100200/,359.900,90,Anuncio actualizado el 14/10/2024,Consumo:158 kWh/m² año,Emisiones:56 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A reformar'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'TC958-592445')]"
https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente-40920927281_305300/,209.000,110,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '110 m²'), ('Superficie útil:', '105 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Exterior:', 'Estancias exteriores y muy luminosas'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 80 y 100 €'), ('Referencia:', '3053-020008')]"
https://www.pisos.com/comprar/atico-chamberi_almagro28003-18347423162_101800/,3.150.000,159,Anuncio actualizado el 10/10/2024,Consumo:230 kWh/m² año,Emisiones:30 Kg CO₂/m² año,"[('Superficie construida:', '159 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '9ª'), ('Referencia:', 'IF76602-M20099V')]"
https://www.pisos.com/comprar/chalet-zona_calle_la_canaleja-44182062638_100500/,450.000,268,Anuncio actualizado el 24/10/2024,Consumo:129 kWh/m² año,Emisiones:56 Kg CO₂/m² año,"[('Superficie construida:', '268 m²'), ('Superficie útil:', '216 m²'), ('Superficie solar:', '930 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA3830-LODON-00692/9281')]"
https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-48405055653_104700/,570.000,233,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '233 m²'), ('Superficie útil:', '220 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'STA17-RP2662024130938')]"
https://www.pisos.com/comprar/piso-goya28009-47564173876_106700/,1.350.000,133,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Superficie útil:', '123 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Referencia:', 'IFC76334-CBUQ446')]"
